,nombre_experimento,dimen,num_bits,Interval_min,Interval_max,tamano_poblacion,prob_mutacion,seleccion_func,gray,s,num_de_generaciones,num_de_ejecuciones,tiempo,optimo,AES,SR,MBF,datos_evolucion
0,Exper1,2,8,-500.0,500.0,50,0.05,Schwefel,True,1.5,50,3,0.48762059211730957,0.09086091009351094,1183.3333333333333,100.0,0.09086091009351094,"[[774.0198616488119, 204.26630046187302, 1507.8369983424636, 246.55409324191012], [763.1459867235046, 204.26630046187302, 1203.5278297030031, 242.5243032686171], [724.7566598777017, 204.26630046187302, 1102.1157230635627, 215.00183653685872], [690.9473562607934, 204.26630046187302, 1185.6838684007535, 219.28685139843907], [669.1401542983363, 53.41875296813828, 1259.3613669289616, 259.4038553263071], [686.383202578801, 53.41875296813828, 1251.3093120073138, 297.2137814074137], [619.3307953389877, 53.41875296813828, 1173.3965784715808, 285.06999074978467], [624.3610115886111, 47.45895753863533, 1253.2896994491973, 276.5435325667966], [610.2715499323468, 47.45895753863533, 1271.6858824371382, 265.14216291541607], [572.665731098902, 28.22823492507041, 1075.5879919643598, 246.8336950738287], [601.5618378703713, 22.146948060789555, 1402.5255540842275, 268.9994986532054], [622.4565932686542, 0.09086091009351094, 1492.6480960075576, 316.33531631342055], [602.8258253110657, 0.09086091009351094, 1138.1605159747598, 293.5112162418495], [567.5150100397177, 0.09086091009351094, 1163.299627063056, 303.3744539774421], [564.8125487865128, 0.09086091009351094, 1046.6105269449242, 256.85163468322054], [586.4020564627353, 0.09086091009351094, 1076.4022870697004, 254.49803085722186], [563.0125487761399, 0.09086091009351094, 1226.60594400735, 295.28916219282723], [573.2017489188861, 0.09086091009351094, 1132.8138779896642, 248.74994842288558], [583.0877299397979, 0.09086091009351094, 1053.9408952337767, 302.58192030986356], [555.7902701580124, 0.09086091009351094, 1026.933101109322, 234.72990250695184], [555.9653446434944, 0.09086091009351094, 1082.0962253435703, 254.28845535028557], [518.4260387568797, 0.09086091009351094, 1096.3342162210638, 284.85777819905945], [464.9826748371415, 0.09086091009351094, 886.0085484484291, 263.71095633818055], [449.416551654954, 0.09086091009351094, 980.7248550313641, 291.0361242323907], [431.13458222365625, 0.09086091009351094, 876.2255664154239, 263.54963947165595], [432.70170802298054, 0.09086091009351094, 1057.0770762737793, 282.02447426067954], [517.7828934467576, 0.09086091009351094, 1222.0585434673364, 304.1310272696173], [443.52776349793845, 0.09086091009351094, 932.2527654701925, 259.54622198364905], [446.542044056894, 0.09086091009351094, 1187.8615253907737, 291.2209924040157], [495.1861031711097, 0.09086091009351094, 1037.5504543731856, 253.30515608205894], [492.37064224184263, 0.09086091009351094, 1187.8615253907737, 304.4442132135253], [470.25392170855923, 0.09086091009351094, 1141.7179450097515, 278.99369131646023], [452.9739709697852, 0.09086091009351094, 1161.305503409571, 283.835308537859], [429.9535784006441, 0.09086091009351094, 1036.5662089719297, 276.02018602247887], [439.5396362376035, 0.09086091009351094, 1194.55120065948, 303.53282692780164], [470.52608974488874, 0.09086091009351094, 1271.170649667175, 334.77885144958094], [436.6685713874508, 0.09086091009351094, 1271.170649667175, 314.9620258294897], [457.0771487047275, 0.09086091009351094, 1431.651411766772, 356.4517083470888], [419.23515373528863, 0.09086091009351094, 1121.0581815775681, 300.0072646641218], [456.56135433061036, 0.09086091009351094, 1018.4797125738611, 277.60918143664225], [476.9517898133237, 0.09086091009351094, 1173.5843008368622, 281.94724496370736], [443.57393113184577, 0.09086091009351094, 1080.864283866541, 298.9801103540098], [490.42388918252965, 0.09086091009351094, 1232.618913234795, 319.946493439193], [473.20090961338565, 0.09086091009351094, 1217.297811600663, 311.2598609677831], [459.7999996155187, 0.09086091009351094, 1168.8705737292653, 323.7917514168606], [439.2755107122241, 0.09086091009351094, 1078.8786363355212, 309.5875991252516], [482.7180259973664, 0.09086091009351094, 1092.3238640558634, 273.95139428041625], [561.0989606152481, 0.09086091009351094, 1299.3045661182532, 308.48936425090886], [517.3171159867796, 0.09086091009351094, 1327.6203666157098, 339.8855493547885], [434.69840105799676, 0.09086091009351094, 1068.3398935960113, 306.5796403097117], [498.0793458658237, 0.09086091009351094, 1308.1460553143638, 330.34261571181554]]"
1,Exper1,2,8,-500.0,500.0,50,0.05,Schwefel,True,1.5,50,3,0.48762059211730957,0.09086091009351094,1183.3333333333333,100.0,0.09086091009351094,"[[843.3465422736591, 381.4660191529607, 1385.2755996476903, 275.9516116962624], [844.5638876288072, 53.41875296813828, 1323.34578913725, 282.2899449630274], [751.637184072882, 53.41875296813828, 1323.34578913725, 288.0228383707913], [697.226007627512, 53.41875296813828, 1230.305701063044, 266.575119445274], [675.1273724365991, 30.80431586343809, 1452.8736230890845, 312.6528933979009], [622.2571049379717, 30.80431586343809, 1251.3093120073138, 296.3912307172521], [600.8294489336154, 30.80431586343809, 1156.3109492825588, 285.2832787811329], [542.7139656940659, 30.80431586343809, 1113.1748741683505, 258.23926123829756], [533.3746782491205, 30.80431586343809, 1134.69508754327, 248.27972264299143], [495.9916281216756, 30.80431586343809, 1050.241545549756, 255.62807661978766], [525.4820381782262, 10.381823005374258, 1196.6295605708128, 286.951770746302], [500.0528542050977, 10.381823005374258, 1300.1232412336758, 292.830186459524], [465.43805134890573, 10.381823005374258, 1011.8292093606349, 290.79847214371915], [532.0709598582082, 2.6269198187760594, 1069.676209723423, 299.28403762676135], [452.6718301986803, 2.6269198187760594, 957.4635870702521, 239.21658931920027], [512.4266903244161, 2.6269198187760594, 1111.659219584761, 273.2191505038186], [491.80055745425494, 2.6269198187760594, 991.0005241799635, 233.4673378933947], [423.9508194507361, 2.6269198187760594, 1092.1697842118551, 271.6401333482242], [435.9631296478916, 2.6269198187760594, 1113.3221066484764, 303.74762611069895], [488.16331724654685, 1.4351495742772613, 1194.2220905976596, 339.76150211525714], [499.69963664979497, 1.4351495742772613, 1224.4993437498583, 331.0167869887466], [496.49363359554087, 1.4351495742772613, 1190.4338716308325, 326.40075612195005], [480.35275170348467, 1.4351495742772613, 1182.2278071600135, 294.2920343307786], [485.4758616314094, 1.4351495742772613, 1050.849097941138, 292.9416889682193], [477.12925427568535, 1.4351495742772613, 1139.4721035617554, 283.0483373424094], [458.5080264967466, 1.4351495742772613, 1116.5048997459623, 303.22321866042284], [554.2976922948744, 1.4351495742772613, 1282.3979044668495, 281.20541505882784], [526.1522256300699, 1.4351495742772613, 1124.4230321387572, 263.23345048465535], [529.1639238306357, 1.4351495742772613, 1182.5804090875915, 296.76883721409683], [513.2606373859151, 1.4351495742772613, 1186.1963298114088, 316.66341101656786], [461.12247327093394, 1.4351495742772613, 1102.4189489747532, 287.6584691574983], [444.94247178815795, 1.4351495742772613, 1094.2128845039342, 296.33625738126113], [556.9911765100147, 1.4351495742772613, 1163.299627063056, 325.6851051492663], [513.4573980091823, 1.4351495742772613, 1125.4366839754582, 322.5235620568692], [458.4716668109229, 1.4351495742772613, 1114.883311829428, 305.68354275654036], [435.24710895911977, 1.4351495742772613, 959.8512436117319, 277.142514137013], [429.1233131001429, 1.4351495742772613, 913.8597573285155, 252.02872880741327], [445.1797871566677, 1.4351495742772613, 1218.8058020274152, 311.34387192164485], [470.79384686711273, 1.4351495742772613, 1430.240390542308, 346.86777004984066], [522.6970242455886, 1.4351495742772613, 1097.1688685454696, 322.1843760127187], [489.41157363322304, 1.4351495742772613, 1004.0828997798851, 277.6343278432873], [495.4764962167765, 1.4351495742772613, 942.35784761068, 258.09824918976483], [505.8028231411152, 0.09086091009351094, 1148.8092760237646, 314.94391350736794], [487.77762188113905, 0.09086091009351094, 1100.831926602616, 283.43683413777404], [451.2352944630056, 0.09086091009351094, 1012.7869608430796, 247.70200508681498], [469.18508790401125, 0.09086091009351094, 1020.3207580885385, 285.0075749758065], [479.0797812401163, 0.09086091009351094, 1052.7303175076959, 277.4687670593779], [503.6300961800187, 0.09086091009351094, 1077.961403234718, 261.36329770286954], [535.1720349440759, 0.09086091009351094, 1105.891480895539, 304.69521274997254], [505.89234429783005, 0.09086091009351094, 1017.5291107487369, 289.59973632434946], [489.45919261898575, 0.09086091009351094, 1137.8180074847555, 333.0171994038635]]"
2,Exper1,2,8,-500.0,500.0,50,0.05,Schwefel,True,1.5,50,3,0.48762059211730957,0.09086091009351094,1183.3333333333333,100.0,0.09086091009351094,"[[860.3114488647349, 421.60669336631247, 1646.3190543810606, 249.89772257104136], [862.6594249678075, 156.83282026886252, 1437.4924280763448, 251.92567760467534], [784.9499910644504, 34.62766297439839, 1419.7961785320904, 307.17097924474825], [719.3960312008878, 17.984207772287505, 1404.4750768979582, 291.3926834497911], [702.0561115566238, 1.4351495742772613, 1247.3324251614283, 285.88082003135463], [660.3132251430235, 1.4351495742772613, 1150.5308865502425, 306.37818936390823], [576.7925133828151, 1.4351495742772613, 1090.281579339079, 276.1144304019916], [640.889374446103, 1.4351495742772613, 1271.170649667175, 300.80662808131797], [613.6071976838751, 1.4351495742772613, 1097.2454773785457, 275.99132925638], [632.0451144939383, 1.4351495742772613, 1279.2794679786455, 289.47524155719015], [592.4967464218116, 1.4351495742772613, 1309.664719693153, 310.3091813537033], [570.9711076363964, 1.4351495742772613, 1391.9374868216894, 320.7387512351859], [624.2199237777355, 1.4351495742772613, 1083.861061815342, 271.6793550733507], [634.4077264647821, 1.4351495742772613, 1137.6967750165268, 284.93564821869705], [592.509968039908, 1.4351495742772613, 1173.9031250370228, 284.56454616796265], [539.975256754063, 1.4351495742772613, 1201.3313958242854, 267.280667385514], [606.347646090249, 1.4351495742772613, 1271.170649667175, 307.670551665518], [545.7884090785611, 1.4351495742772613, 1198.4667099300284, 286.253984360244], [546.5327952726208, 1.4351495742772613, 1129.4186855711628, 278.1884454331264], [571.6772905300878, 1.4351495742772613, 1131.3483997844248, 298.0021264220128], [553.6992388203139, 1.4351495742772613, 1127.5405047471306, 277.13802009807773], [520.7787895660935, 0.09086091009351094, 1198.4667099300284, 293.32385901409543], [475.8136365629908, 0.09086091009351094, 1213.3366896773869, 266.6742209206976], [521.3565362103047, 0.09086091009351094, 1141.0199424604832, 284.27291080400283], [459.5569888196592, 0.09086091009351094, 1115.015775271726, 306.6548510994317], [455.7494577495512, 0.09086091009351094, 953.513844866443, 262.1437848848002], [466.17397336292265, 0.09086091009351094, 1127.4293489736478, 244.33075922081963], [506.7575486792338, 0.09086091009351094, 1060.410265209869, 255.27484195929648], [479.2203018895744, 0.09086091009351094, 1056.733765456732, 283.14255306781064], [526.1646569163598, 0.09086091009351094, 1176.1959341456702, 285.0168439836514], [503.8781099764669, 0.09086091009351094, 1036.3141561570267, 274.00135885802644], [478.9656579190921, 0.09086091009351094, 1090.3433444856878, 266.6386945670938], [472.8774305588577, 0.09086091009351094, 1017.4294577196471, 262.4568295986986], [471.875163221904, 0.09086091009351094, 951.4617009187484, 224.1830724187481], [481.4724058332823, 0.09086091009351094, 964.8632334980073, 254.24493093168735], [459.937380700837, 0.09086091009351094, 1011.7504353754342, 262.67803970630166], [507.25923155910897, 0.09086091009351094, 1280.8638803512065, 330.47986093413823], [515.6219969510107, 0.09086091009351094, 1285.7986226516864, 329.3146013565053], [474.07302042470985, 0.09086091009351094, 1068.79299428963, 253.08102854571607], [463.3371307678351, 0.09086091009351094, 1143.9698752454271, 279.1241252971613], [471.7684310352828, 0.09086091009351094, 1135.448995794274, 292.684957311227], [451.7727427275763, 0.09086091009351094, 1120.9586447549825, 276.1721547318918], [504.49143852391256, 0.09086091009351094, 1095.3938764565219, 259.8273261719486], [544.2125548617421, 0.09086091009351094, 1344.94154711478, 340.95180772404643], [500.24485960598184, 0.09086091009351094, 1113.1748741683505, 264.58584433077453], [459.28141947719246, 0.09086091009351094, 1020.540572031692, 285.14372502928177], [407.240768016028, 0.09086091009351094, 1005.5350403942552, 275.0992873292596], [346.396508131775, 0.09086091009351094, 882.310887375607, 252.56823097923535], [344.78094941144315, 0.09086091009351094, 908.9415630071921, 224.00244024155796], [465.55753801822107, 0.09086091009351094, 1123.9074147100569, 304.861769798108], [439.15663580978537, 0.09086091009351094, 1092.5293522787777, 274.5098221364709]]"
